"line","station_start","line_id_start","station_to","line_id_to"
1,"莘庄",1,"外环路",2
1,"外环路",2,"莲花路",3
1,"莲花路",3,"锦江乐园",4
1,"锦江乐园",4,"上海南站",5
1,"上海南站",5,"漕宝路",6
1,"漕宝路",6,"上海体育馆",7
1,"上海体育馆",7,"徐家汇",8
1,"徐家汇",8,"衡山路",9
1,"衡山路",9,"常熟路",10
1,"常熟路",10,"陕西南路",11
1,"陕西南路",11,"黄陂南路",12
1,"黄陂南路",12,"人民广场",13
1,"人民广场",13,"新闸路",14
1,"新闸路",14,"汉中路",15
1,"汉中路",15,"上海火车站",16
1,"上海火车站",16,"中山北路",17
1,"中山北路",17,"延长路",18
1,"延长路",18,"上海马戏城",19
1,"上海马戏城",19,"汶水路",20
1,"汶水路",20,"彭浦新村",21
1,"彭浦新村",21,"共康路",22
1,"共康路",22,"通河新村",23
1,"通河新村",23,"呼兰路",24
1,"呼兰路",24,"共富新村",25
1,"共富新村",25,"宝安公路",26
1,"宝安公路",26,"友谊西路",27
1,"友谊西路",27,"富锦路",28
2,"浦东国际机场",1,"海天三路",2
2,"海天三路",2,"远东大道",3
2,"远东大道",3,"凌空路",4
2,"凌空路",4,"川沙",5
2,"川沙",5,"华夏东路",6
2,"华夏东路",6,"创新中路",7
2,"创新中路",7,"唐镇",8
2,"唐镇",8,"广兰路",9
2,"广兰路",9,"广兰路",10
2,"广兰路",10,"金科路",11
2,"金科路",11,"张江高科",12
2,"张江高科",12,"龙阳路",13
2,"龙阳路",13,"世纪公园",14
2,"世纪公园",14,"上海科技馆",15
2,"上海科技馆",15,"世纪大道",16
2,"世纪大道",16,"东昌路",17
2,"东昌路",17,"陆家嘴",18
2,"陆家嘴",18,"南京东路",19
2,"南京东路",19,"人民广场",20
2,"人民广场",20,"南京西路",21
2,"南京西路",21,"静安寺",22
2,"静安寺",22,"江苏路",23
2,"江苏路",23,"中山公园",24
2,"中山公园",24,"娄山关路",25
2,"娄山关路",25,"威宁路",26
2,"威宁路",26,"北新泾",27
2,"北新泾",27,"淞虹路",28
2,"淞虹路",28,"虹桥2号航站楼",29
2,"虹桥2号航站楼",29,"虹桥火车站",30
2,"虹桥火车站",30,"徐泾东",31
3,"上海南站",1,"石龙路",2
3,"石龙路",2,"龙漕路",3
3,"龙漕路",3,"漕溪路",4
3,"漕溪路",4,"宜山路",5
3,"宜山路",5,"虹桥路",6
3,"虹桥路",6,"延安西路",7
3,"延安西路",7,"中山公园",8
3,"中山公园",8,"金沙江路",9
3,"金沙江路",9,"曹杨路",10
3,"曹杨路",10,"镇坪路",11
3,"镇坪路",11,"中潭路",12
3,"中潭路",12,"上海火车站",13
3,"上海火车站",13,"宝山路",14
3,"宝山路",14,"东宝兴路",15
3,"东宝兴路",15,"虹口足球场",16
3,"虹口足球场",16,"赤峰路",17
3,"赤峰路",17,"大柏树",18
3,"大柏树",18,"江湾镇",19
3,"江湾镇",19,"殷高西路",20
3,"殷高西路",20,"长江南路",21
3,"长江南路",21,"淞发路",22
3,"淞发路",22,"张华浜",23
3,"张华浜",23,"淞滨路",24
3,"淞滨路",24,"水产路",25
3,"水产路",25,"宝杨路",26
3,"宝杨路",26,"友谊路",27
3,"友谊路",27,"铁力路",28
3,"铁力路",28,"江杨北路",29
4,"宜山路",1,"上海体育馆",2
4,"上海体育馆",2,"上海体育场",3
4,"上海体育场",3,"东安路",4
4,"东安路",4,"大木桥路",5
4,"大木桥路",5,"鲁班路",6
4,"鲁班路",6,"西藏南路",7
4,"西藏南路",7,"南浦大桥",8
4,"南浦大桥",8,"塘桥",9
4,"塘桥",9,"蓝村路",10
4,"蓝村路",10,"浦电路",11
4,"浦电路",11,"世纪大道",12
4,"世纪大道",12,"浦东大道",13
4,"浦东大道",13,"杨树浦路",14
4,"杨树浦路",14,"大连路",15
4,"大连路",15,"临平路",16
4,"临平路",16,"海伦路",17
4,"海伦路",17,"宝山路",18
4,"宝山路",18,"上海火车站",19
4,"上海火车站",19,"中潭路",20
4,"中潭路",20,"镇坪路",21
4,"镇坪路",21,"曹杨路",22
4,"曹杨路",22,"金沙江路",23
4,"金沙江路",23,"中山公园",24
4,"中山公园",24,"延安西路",25
4,"延安西路",25,"虹桥路",26
4,"虹桥路",26,"宜山路",1
5,"莘庄",1,"春申路",2
5,"春申路",2,"银都路",3
5,"银都路",3,"颛桥",4
5,"颛桥",4,"北桥",5
5,"北桥",5,"剑川路",6
5,"剑川路",6,"东川路",7
5,"东川路",7,"金平路",8
5,"金平路",8,"华宁路",9
5,"华宁路",9,"文井路",10
5,"文井路",10,"闵行开发区",11
6,"港城路",1,"外高桥保税区北",2
6,"外高桥保税区北",2,"航津路",3
6,"航津路",3,"外高桥保税区南",4
6,"外高桥保税区南",4,"洲海路",5
6,"洲海路",5,"五洲大道",6
6,"五洲大道",6,"东靖路",7
6,"东靖路",7,"巨峰路",8
6,"巨峰路",8,"五莲路",9
6,"五莲路",9,"博兴路",10
6,"博兴路",10,"金桥路",11
6,"金桥路",11,"云山路",12
6,"云山路",12,"德平路",13
6,"德平路",13,"北洋泾路",14
6,"北洋泾路",14,"民生路",15
6,"民生路",15,"源深体育中心",16
6,"源深体育中心",16,"世纪大道",17
6,"世纪大道",17,"浦电路",18
6,"浦电路",18,"蓝村路",19
6,"蓝村路",19,"上海儿童医学中心",20
6,"上海儿童医学中心",20,"临沂新村",21
6,"临沂新村",21,"高科西路",22
6,"高科西路",22,"东明路",23
6,"东明路",23,"高青路",24
6,"高青路",24,"华夏西路",25
6,"华夏西路",25,"上南路",26
6,"上南路",26,"灵岩南路",27
6,"灵岩南路",27,"东方体育中心",28
7,"花木路",1,"龙阳路",2
7,"龙阳路",2,"芳华路",3
7,"芳华路",3,"锦绣路",4
7,"锦绣路",4,"杨高南路",5
7,"杨高南路",5,"高科西路",6
7,"高科西路",6,"云台路",7
7,"云台路",7,"耀华路",8
7,"耀华路",8,"长清路",9
7,"长清路",9,"后滩",10
7,"后滩",10,"龙华中路",11
7,"龙华中路",11,"东安路",12
7,"东安路",12,"肇嘉浜路",13
7,"肇嘉浜路",13,"常熟路",14
7,"常熟路",14,"静安寺",15
7,"静安寺",15,"昌平路",16
7,"昌平路",16,"长寿路",17
7,"长寿路",17,"镇坪路",18
7,"镇坪路",18,"岚皋路",19
7,"岚皋路",19,"新村路",20
7,"新村路",20,"大华三路",21
7,"大华三路",21,"行知路",22
7,"行知路",22,"大场镇",23
7,"大场镇",23,"场中路",24
7,"场中路",24,"上大路",25
7,"上大路",25,"南陈路",26
7,"南陈路",26,"上海大学",27
7,"上海大学",27,"祁华路",28
7,"祁华路",28,"顾村公园",29
7,"顾村公园",29,"刘行",30
7,"刘行",30,"潘广路",31
7,"潘广路",31,"罗南新村",32
7,"罗南新村",32,"美兰湖",33
8,"沈杜公路",1,"联航路",2
8,"联航路",2,"江月路",3
8,"江月路",3,"浦江镇",4
8,"浦江镇",4,"芦恒路",5
8,"芦恒路",5,"凌兆新村",6
8,"凌兆新村",6,"东方体育中心",7
8,"东方体育中心",7,"杨思",8
8,"杨思",8,"成山路",9
8,"成山路",9,"耀华路",10
8,"耀华路",10,"中华艺术宫",11
8,"中华艺术宫",11,"西藏南路",12
8,"西藏南路",12,"陆家浜路",13
8,"陆家浜路",13,"老西门",14
8,"老西门",14,"大世界",15
8,"大世界",15,"人民广场",16
8,"人民广场",16,"曲阜路",17
8,"曲阜路",17,"中兴路",18
8,"中兴路",18,"西藏北路",19
8,"西藏北路",19,"虹口足球场",20
8,"虹口足球场",20,"曲阳路",21
8,"曲阳路",21,"四平路",22
8,"四平路",22,"鞍山新村",23
8,"鞍山新村",23,"江浦路",24
8,"江浦路",24,"黄兴路",25
8,"黄兴路",25,"延吉中路",26
8,"延吉中路",26,"黄兴公园",27
8,"黄兴公园",27,"翔殷路",28
8,"翔殷路",28,"嫩江路",29
8,"嫩江路",29,"市光路",30
9,"杨高中路",1,"世纪大道",2
9,"世纪大道",2,"商城路",3
9,"商城路",3,"小南门",4
9,"小南门",4,"陆家浜路",5
9,"陆家浜路",5,"马当路",6
9,"马当路",6,"打浦桥",7
9,"打浦桥",7,"嘉善路",8
9,"嘉善路",8,"肇嘉浜路",9
9,"肇嘉浜路",9,"徐家汇",10
9,"徐家汇",10,"宜山路",11
9,"宜山路",11,"桂林路",12
9,"桂林路",12,"漕河泾开发区",13
9,"漕河泾开发区",13,"合川路",14
9,"合川路",14,"星中路",15
9,"星中路",15,"七宝",16
9,"七宝",16,"中春路",17
9,"中春路",17,"九亭",18
9,"九亭",18,"泗泾",19
9,"泗泾",19,"佘山",20
9,"佘山",20,"洞泾",21
9,"洞泾",21,"松江大学城",22
9,"松江大学城",22,"松江新城",23
9,"松江新城",23,"松江体育中心",24
9,"松江体育中心",24,"醉白池",25
9,"醉白池",25,"松江南站",26
10,"新江湾城",1,"殷高东路",2
10,"殷高东路",2,"三门路",3
10,"三门路",3,"江湾体育场",4
10,"江湾体育场",4,"五角场",5
10,"五角场",5,"国权路",6
10,"国权路",6,"同济大学",7
10,"同济大学",7,"四平路",8
10,"四平路",8,"邮电新村",9
10,"邮电新村",9,"海伦路",10
10,"海伦路",10,"四川北路",11
10,"四川北路",11,"天潼路",12
10,"天潼路",12,"南京东路",13
10,"南京东路",13,"豫园",14
10,"豫园",14,"老西门",15
10,"老西门",15,"新天地",16
10,"新天地",16,"陕西南路",17
10,"陕西南路",17,"上海图书馆",18
10,"上海图书馆",18,"交通大学",19
10,"交通大学",19,"虹桥路",20
10,"虹桥路",20,"宋园路",21
10,"宋园路",21,"伊犁路",22
10,"伊犁路",22,"水城路",23
10,"水城路",23,"龙溪路",24
10,"龙溪路",24,"上海动物园",25
10,"上海动物园",25,"虹桥1号航站楼",26
10,"虹桥1号航站楼",26,"虹桥2号航站楼",27
10,"虹桥2号航站楼",27,"虹桥火车站",28
10,"龙溪路",24,"龙柏新村",29
10,"龙柏新村",29,"紫藤路",30
10,"紫藤路",30,"航中路",31
11,"罗山路",4,"御桥",5
11,"御桥",5,"浦三路",6
11,"浦三路",6,"三林东",7
11,"三林东",7,"三林",8
11,"三林",8,"东方体育中心",9
11,"东方体育中心",9,"龙耀路",10
11,"龙耀路",10,"云锦路",11
11,"云锦路",11,"龙华",12
11,"龙华",12,"上海游泳馆",13
11,"上海游泳馆",13,"徐家汇",14
11,"徐家汇",14,"交通大学",15
11,"交通大学",15,"江苏路",16
11,"江苏路",16,"隆德路",17
11,"隆德路",17,"曹杨路",18
11,"曹杨路",18,"枫桥路",19
11,"枫桥路",19,"真如",20
11,"真如",20,"上海西站",21
11,"上海西站",21,"李子园路",22
11,"李子园路",22,"祁连山路",23
11,"祁连山路",23,"武威路",24
11,"武威路",24,"桃浦新村",25
11,"桃浦新村",25,"南翔",26
11,"南翔",26,"马陆",27
11,"马陆",27,"嘉定新城",28
11,"嘉定新城",28,"白银路",29
11,"白银路",29,"嘉定西",30
11,"嘉定西",30,"嘉定北",31
11,"嘉定新城",28,"上海赛车场",32
11,"上海赛车场",32,"昌吉东路",33
11,"昌吉东路",33,"上海汽车城",34
11,"上海汽车城",34,"安亭",35
11,"安亭",35,"兆丰路",36
11,"兆丰路",36,"光明路",37
11,"光明路",37,"花桥",38
12,"金海路",1,"申江路",2
12,"申江路",2,"金京路",3
12,"金京路",3,"杨高北路",4
12,"杨高北路",4,"巨峰路",5
12,"巨峰路",5,"东陆路",6
12,"东陆路",6,"复兴岛",7
12,"复兴岛",7,"爱国路",8
12,"爱国路",8,"隆昌路",9
12,"隆昌路",9,"宁国路",10
12,"宁国路",10,"江浦公园",11
12,"江浦公园",11,"大连路",12
12,"大连路",12,"提篮桥",13
12,"提篮桥",13,"国际客运中心",14
12,"国际客运中心",14,"天潼路",15
12,"天潼路",15,"曲阜路",16
13,"金运路",1,"金沙江西路",2
13,"金沙江西路",2,"丰庄",3
13,"丰庄",3,"祁连山南路",4
13,"祁连山南路",4,"真北路",5
13,"真北路",5,"大渡河路",6
13,"大渡河路",6,"金沙江路",7
13,"金沙江路",7,"隆德路",8
13,"隆德路",8,"武宁路",9
13,"武宁路",9,"长寿路",10
16,"滴水湖",1,"临港大道",2
16,"临港大道",2,"书院",3
16,"书院",3,"惠南东",4
16,"惠南东",4,"惠南",5
16,"惠南",5,"上海野生动物园",6
16,"上海野生动物园",6,"新场",7
16,"新场",7,"航头东",8
16,"航头东",8,"鹤沙航城",9
16,"鹤沙航城",9,"周浦东",10
16,"周浦东",10,"罗山路",11
16,"罗山路",11,"华夏中路",12
16,"华夏中路",12,"龙阳路",13
